"Code";"Nom";"DCI";"Marque";"Categorie";"Forme";"Prix Vente";"Prix Achat";"Ordonnance";"Quantite";"Peremption"
"";"Calben 400 MG CP";"";"";"";"";"";"12000";"";"6";""
"";"Calcibronat cp";"";"";"";"";"";"53000";"";"5";""
"";"Calci D denk cp";"";"";"";"";"";"104000";"";"5";""
"";"Calcium active denk cp";"";"";"";"";"";"54000";"";"4";""
"";"Calsource cp";"";"";"";"";"";"40000";"";"1";""
"";"Calgin cp";"";"";"";"";"";"15000";"";"6";""
"";"Captopril 25mg cp B/20";"";"";"";"";"";"38000";"";"3";""
"";"Carben 500mg cp";"";"";"";"";"";"22000";"";"2";""
"";"Carben 100mg cp";"";"";"";"";"";"21000";"";"10";""
"";"Capen cp 25g B/30";"";"";"";"";"";"51500";"";"3";""
"";"Cardiurine cp";"";"";"";"";"";"68000";"";"3";""
"";"Cardix 6.25 cp";"";"";"";"";"";"0";"";"0";""
"";"Cardiovalam GH cp";"";"";"";"";"";"243000";"";"3";""
"";"Colosar Denk 100/12.5 cp";"";"";"";"";"";"191000";"";"10";""
"";"Carvedi Denk 25mg cp";"";"";"";"";"";"116000";"";"1";""
"";"Carvedi Denk 6.25mg cp";"";"";"";"";"";"0";"";"0";""
"";"Cataflam 25mg cp";"";"";"";"";"";"33000";"";"2";""
"";"Cataflam 50mg cp";"";"";"";"";"";"66000";"";"1";""
"";"Cefaloral 100mg cp";"";"";"";"";"";"74000";"";"2";""
"";"Cefaloral 200mg cp";"";"";"";"";"";"85000";"";"3";""
"";"Cefixidel cp 200g cp";"";"";"";"";"";"78000";"";"2";""
"";"Cenazol 500mg cp";"";"";"";"";"";"34000";"";"1";""
"";"Cenazol 250mg cp";"";"";"";"";"";"26000";"";"5";""
"";"Cetamyl 500mg cp";"";"";"";"";"";"18000";"";"5";""
"";"Cetamyl 1g cp";"";"";"";"";"";"22000";"";"3";""
"";"Celestene 2mg cp";"";"";"";"";"";"0";"";"0";""
"";"Cefixim 200mg BGR cp";"";"";"";"";"";"58000";"";"3";""
"";"Ceficap 400mg cp";"";"";"";"";"";"110000";"";"1";""
"";"Chophytol cp";"";"";"";"";"";"0";"";"0";""
"";"Cefim 200mg cp";"";"";"";"";"";"130000";"";"2";""
"";"Cefim 400 mg cp";"";"";"";"";"";"130000";"";"1";""
"";"Chondroflex cp";"";"";"";"";"";"256000";"";"3";""
"";"Chondrosteo cp";"";"";"";"";"";"200000";"";"1";""
"";"Chondrogen cp";"";"";"";"";"";"64000";"";"2";""
"";"Cinabac cp";"";"";"";"";"";"0";"";"0";""
"";"Ciprolex TZ cp";"";"";"";"";"";"81000";"";"2";""
"";"Cipotax cp";"";"";"";"";"";"47000";"";"3";""
"";"Cipro Denk 500mg cp";"";"";"";"";"";"57000";"";"4";""
"";"Cipro Denk 750mg cp";"";"";"";"";"";"74000";"";"2";""
"";"Cipromed TZ cp";"";"";"";"";"";"35000";"";"3";""
"";"Cipromed cp";"";"";"";"";"";"27000";"";"2";""
"";"Cipronat 500mg cp";"";"";"";"";"";"58000";"";"2";""
"";"Cipronat 750mg cp";"";"";"";"";"";"65000";"";"3";""
"";"Ciptin Forte cp";"";"";"";"";"";"0";"";"0";""
"";"Caplin ciptin cp 2500";"";"";"";"";"";"0";"";"0";""
"";"Citrate de Betaine cp";"";"";"";"";"";"0";"";"0";""
"";"Clamoxyl 500mg cp";"";"";"";"";"";"32000";"";"15";""
"";"Clamoxyl 1g cp";"";"";"";"";"";"75000";"";"3";""
"";"Clariton cp";"";"";"";"";"";"0";"";"0";""
"";"Clariva cp";"";"";"";"";"";"93000";"";"2";""
"";"Clartec cp 10mg cp";"";"";"";"";"";"58000";"";"3";""
"";"Clavumocid 500mg cp";"";"";"";"";"";"0";"";"0";""
"";"Clavumocid 1g cp";"";"";"";"";"";"130000";"";"1";""
"";"Cloace cp";"";"";"";"";"";"113000";"";"1";""
"";"Clomiflex cp 50g q";"";"";"";"";"";"93000";"";"3";""
"";"Clom cp 50mg cp";"";"";"";"";"";"70000";"";"0";""
"";"Co Arinate Adulte cp";"";"";"";"";"";"50000";"";"3";""
"";"Co Arinate Junior cp";"";"";"";"";"";"42000";"";"4";""
"";"Coartem B/12 20/120 cp";"";"";"";"";"";"35000";"";"6";""
"";"Coartem B/6 20/120 cp";"";"";"";"";"";"20000";"";"6";""
"";"Coartem 80mg cp";"";"";"";"";"";"63000";"";"6";""
"";"Co-Doliprane cp";"";"";"";"";"";"35000";"";"5";""
"";"Cofantrine Adulte cp";"";"";"";"";"";"46000";"";"8";""
"";"Cofantrine 20/120 disp cp";"";"";"";"";"";"19000";"";"5";""
"";"Colchimax cp";"";"";"";"";"";"0";"";"0";""
"";"Colchicine cp";"";"";"";"";"";"0";"";"0";""
"";"Curam 1g cp";"";"";"";"";"";"0";"";"0";""
"";"Curam 500mg cp";"";"";"";"";"";"0";"";"0";""
"";"Combifrinil cp";"";"";"";"";"";"23000";"";"12";""
"";"Daflon 500mg cp";"";"";"";"";"";"83000";"";"2";""
"";"Daflon 1g cp";"";"";"";"";"";"166000";"";"4";""
"";"Coveram 5/5mg cp";"";"";"";"";"";"236000";"";"1";""
"";"Coveram 10/10mg cp";"";"";"";"";"";"358000";"";"1";""
"";"Coveram 5/10mg cp";"";"";"";"";"";"0";"";"0";""
"";"Cordarone cp 200g cp";"";"";"";"";"";"0";"";"0";""
"";"Defnil cp p50/500";"";"";"";"";"";"64000";"";"2";""
"";"Denk Air cp";"";"";"";"";"";"203000";"";"1";""
"";"Dafrazol B/14 cp";"";"";"";"";"";"42000";"";"1";""
"";"Cupid cp 50g q";"";"";"";"";"";"0";"";"0";""
"";"Curtec cp 10mg cp";"";"";"";"";"";"72000";"";"1";""
"";"Depakine 500mg cp";"";"";"";"";"";"0";"";"0";""
"";"Depakine chrono cp";"";"";"";"";"";"0";"";"0";""
"";"Diantalex cp";"";"";"";"";"";"21000";"";"8";""
"";"Diflamex cp 50mg q";"";"";"";"";"";"0";"";"0";""
"";"Diflucan cp 150mg";"";"";"";"";"";"0";"";"0";""
"";"Dycinone cp 500mg";"";"";"";"";"";"92000";"";"1";""
