"Code";"Nom";"DCI";"Marque";"Categorie";"Forme";"Prix Vente";"Prix Achat";"Ordonnance";"Quantite";"Peremption"
"";"Rabeloc cp";"";"";"";"";"";"0";"";"0";""
"";"Ramithiazide 10/12.5 mg cp";"";"";"";"";"";"70000";"";"1";""
"";"Ramithiazide 10/25 mg cp";"";"";"";"";"";"139000";"";"1";""
"";"Ramithiazide 5/12.5 mg cp";"";"";"";"";"";"61000";"";"1";""
"";"Ranferon cp";"";"";"";"";"";"0";"";"0";""
"";"Rapiclav 1 g cp";"";"";"";"";"";"99000";"";"1";""
"";"Regulix 40 mg cp";"";"";"";"";"";"0";"";"0";""
"";"Regulix 80 mg";"";"";"";"";"";"0";"";"0";""
"";"Rejuvenex cp";"";"";"";"";"";"0";"";"0";""
"";"Renerve P cp";"";"";"";"";"";"208000";"";"1";""
"";"Renerve Plus cp";"";"";"";"";"";"139000";"";"2";""
"";"Restriva cp";"";"";"";"";"";"23500";"";"5";""
"";"Ribatran cp";"";"";"";"";"";"77000";"";"12";""
"";"Richfer cp";"";"";"";"";"";"47000";"";"6";""
"";"Rinialer cp";"";"";"";"";"";"0";"";"0";""
"";"R lume 40 mg cp";"";"";"";"";"";"35000";"";"2";""
"";"R lume 80 mg cp";"";"";"";"";"";"41000";"";"2";""
"";"Roipar 1 g cp";"";"";"";"";"";"35000";"";"3";""
"";"Roipar 500 mg cp";"";"";"";"";"";"28000";"";"7";""
"";"Roipar Plus cp";"";"";"";"";"";"38000";"";"9";""
"";"Rhumadol cp";"";"";"";"";"";"12000";"";"16";""
"";"Stopadol cp";"";"";"";"";"";"11000";"";"15";""
"";"Rovamycine 3 M.U.I cp";"";"";"";"";"";"85000";"";"3";""
"";"Rovamycine 1,5 M.U.I";"";"";"";"";"";"86500";"";"2";""
"";"Runn P cp";"";"";"";"";"";"0";"";"0";""
"";"Rox-mycin cp";"";"";"";"";"";"58000";"";"1";""
"";"Safex cp";"";"";"";"";"";"70000";"";"2";""
"";"Sekalgic cp";"";"";"";"";"";"22000";"";"5";""
"";"Sedaspir cp";"";"";"";"";"";"34000";"";"5";""
"";"Sidenafil BGR 100 mg cp";"";"";"";"";"";"0";"";"0";""
"";"Sitrus SR cp";"";"";"";"";"";"81000";"";"2";""
"";"Spasfon cp";"";"";"";"";"";"0";"";"0";""
"";"Spasmarix 40 mg cp";"";"";"";"";"";"0";"";"0";""
"";"Spasmarix 80 mg cp";"";"";"";"";"";"0";"";"0";""
"";"Spasmo-apotel cp";"";"";"";"";"";"0";"";"0";""
"";"Spasmocalm cp";"";"";"";"";"";"0";"";"0";""
"";"Spasmosyl cp";"";"";"";"";"";"35000";"";"1";""
"";"Spasmotroy 40 mg cp";"";"";"";"";"";"24000";"";"2";""
"";"Spasmotroy 80 mg cp";"";"";"";"";"";"49000";"";"1";""
"";"Shibudal cp";"";"";"";"";"";"0";"";"0";""
"";"Stresam cp";"";"";"";"";"";"0";"";"0";""
"";"Sufix 200 mg cp";"";"";"";"";"";"70000";"";"1";""
"";"Sufix 400 mg cp";"";"";"";"";"";"0";"";"0";""
"";"Sulfobactam 250 mg cp";"";"";"";"";"";"48000";"";"1";""
"";"Sulfobactam 500 mg cp";"";"";"";"";"";"115000";"";"1";""
"";"Surgam 100 mg cp";"";"";"";"";"";"51000";"";"1";""
"";"Surgam 200 mg cp";"";"";"";"";"";"80000";"";"1";""
"";"Tanakan cp";"";"";"";"";"";"102000";"";"3";""
"";"Tanganil cp";"";"";"";"";"";"71000";"";"1";""
"";"Tardyferon 80 mg cp";"";"";"";"";"";"49000";"";"5";""
"";"Tardyferon B/9 cp";"";"";"";"";"";"52000";"";"6";""
"";"T-dol Rapid cp P B/10";"";"";"";"";"";"42000";"";"1";""
"";"T-dol P Rapid cp";"";"";"";"";"";"0";"";"0";""
"";"Tegretol 200 mg cp";"";"";"";"";"";"103000";"";"1";""
"";"Tegretol LP 200 mg cp";"";"";"";"";"";"65000";"";"2";""
"";"Tegretol LP 400 mg cp";"";"";"";"";"";"0";"";"0";""
"";"Tensiodip 5 mg cp";"";"";"";"";"";"54000";"";"5";""
"";"Tensiodip 10 mg cp";"";"";"";"";"";"67000";"";"13";""
"";"Ticasse 500 mg cp";"";"";"";"";"";"85500";"";"2";""
"";"Ticasse 1 g cp";"";"";"";"";"";"104000";"";"3";""
"";"Tensionorme cp";"";"";"";"";"";"30000";"";"4";""
"";"T-fer cp";"";"";"";"";"";"0";"";"0";""
"";"Thiobactin 500 mg cp";"";"";"";"";"";"0";"";"0";""
"";"Tinazol cp";"";"";"";"";"";"23000";"";"5";""
"";"Toco 500 mg cp";"";"";"";"";"";"0";"";"0";""
"";"Tocfim 200 mg DT cp";"";"";"";"";"";"0";"";"0";""
"";"Traclav 1 g cp";"";"";"";"";"";"105000";"";"3";""
"";"Top-3 kit cp";"";"";"";"";"";"70000";"";"3";""
"";"Tracedol cp";"";"";"";"";"";"58000";"";"2";""
"";"Tramadol DENK 50 mg";"";"";"";"";"";"0";"";"0";""
"";"Tremadol cp";"";"";"";"";"";"60000";"";"2";""
