"Code,""Nom"",""DCI"",""Marque"",""Categorie"",""Forme"",""Prix Vente"",""Prix Achat"",""Rx"",""Quantite"""
"PN0454,""Rabeloc cp"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN1242,""Ramithiazide 10/12.5 mg cp"","""","""",""Autre"",""Comprime"",""70000"",""0"",""Non"",""1"""
"PN1243,""Ramithiazide 10/25 mg cp"","""","""",""Autre"",""Comprime"",""139000"",""0"",""Non"",""1"""
"PN1244,""Ramithiazide 5/12.5 mg cp"","""","""",""Autre"",""Comprime"",""61000"",""0"",""Non"",""1"""
"PN0458,""Ranferon cp"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN1245,""Rapiclav 1 g cp"","""","""",""Autre"",""Comprime"",""99000"",""0"",""Non"",""1"""
"PN1246,""Regulix 40 mg cp"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN0461,""Regulix 80 mg"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN0462,""Rejuvenex cp"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN0463,""Renerve P cp"","""","""",""Autre"",""Comprime"",""208000"",""0"",""Non"",""1"""
"PN0464,""Renerve Plus cp"","""","""",""Autre"",""Comprime"",""139000"",""0"",""Non"",""2"""
"PN0465,""Restriva cp"","""","""",""Autre"",""Comprime"",""23500"",""0"",""Non"",""5"""
"PN0466,""Ribatran cp"","""","""",""Autre"",""Comprime"",""77000"",""0"",""Non"",""12"""
"PN0467,""Richfer cp"","""","""",""Autre"",""Comprime"",""47000"",""0"",""Non"",""6"""
"PN0468,""Rinialer cp"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN1247,""R lume 40 mg cp"","""","""",""Autre"",""Comprime"",""35000"",""0"",""Non"",""2"""
"PN1248,""R lume 80 mg cp"","""","""",""Autre"",""Comprime"",""41000"",""0"",""Non"",""2"""
"PN1249,""Roipar 1 g cp"","""","""",""Autre"",""Comprime"",""35000"",""0"",""Non"",""3"""
"PN1250,""Roipar 500 mg cp"","""","""",""Autre"",""Comprime"",""28000"",""0"",""Non"",""7"""
"PN0473,""Roipar Plus cp"","""","""",""Autre"",""Comprime"",""38000"",""0"",""Non"",""9"""
"PN0474,""Rhumadol cp"","""","""",""Autre"",""Comprime"",""12000"",""0"",""Non"",""16"""
"PN0475,""Stopadol cp"","""","""",""Autre"",""Comprime"",""11000"",""0"",""Non"",""15"""
"PN1251,""Rovamycine 3 M.U.I cp"","""","""",""Autre"",""Comprime"",""85000"",""0"",""Non"",""3"""
"PN1252,""Rovamycine 1,5 M.U.I"","""","""",""Autre"",""Comprime"",""86500"",""0"",""Non"",""2"""
"PN0478,""Runn P cp"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN0479,""Rox-mycin cp"","""","""",""Autre"",""Comprime"",""58000"",""0"",""Non"",""1"""
"PN0480,""Safex cp"","""","""",""Autre"",""Comprime"",""70000"",""0"",""Non"",""2"""
"PN0481,""Sekalgic cp"","""","""",""Autre"",""Comprime"",""22000"",""0"",""Non"",""5"""
"PN0482,""Sedaspir cp"","""","""",""Autre"",""Comprime"",""34000"",""0"",""Non"",""5"""
"PN1253,""Sidenafil BGR 100 mg cp"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN0484,""Sitrus SR cp"","""","""",""Autre"",""Comprime"",""81000"",""0"",""Non"",""2"""
"PN0485,""Spasfon cp"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN1254,""Spasmarix 40 mg cp"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN1255,""Spasmarix 80 mg cp"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN0488,""Spasmo-apotel cp"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN0489,""Spasmocalm cp"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN0490,""Spasmosyl cp"","""","""",""Autre"",""Comprime"",""35000"",""0"",""Non"",""1"""
"PN1256,""Spasmotroy 40 mg cp"","""","""",""Autre"",""Comprime"",""24000"",""0"",""Non"",""2"""
"PN1257,""Spasmotroy 80 mg cp"","""","""",""Autre"",""Comprime"",""49000"",""0"",""Non"",""1"""
"PN0493,""Shibudal cp"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN0494,""Stresam cp"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN1258,""Sufix 200 mg cp"","""","""",""Autre"",""Comprime"",""70000"",""0"",""Non"",""1"""
"PN1259,""Sufix 400 mg cp"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN1260,""Sulfobactam 250 mg cp"","""","""",""Autre"",""Comprime"",""48000"",""0"",""Non"",""1"""
"PN1261,""Sulfobactam 500 mg cp"","""","""",""Autre"",""Comprime"",""115000"",""0"",""Non"",""1"""
"PN1262,""Surgam 100 mg cp"","""","""",""Autre"",""Comprime"",""51000"",""0"",""Non"",""1"""
"PN1263,""Surgam 200 mg cp"","""","""",""Autre"",""Comprime"",""80000"",""0"",""Non"",""1"""
"PN0501,""Tanakan cp"","""","""",""Autre"",""Comprime"",""102000"",""0"",""Non"",""3"""
"PN0502,""Tanganil cp"","""","""",""Autre"",""Comprime"",""71000"",""0"",""Non"",""1"""
"PN1264,""Tardyferon 80 mg cp"","""","""",""Autre"",""Comprime"",""49000"",""0"",""Non"",""5"""
"PN0504,""Tardyferon B/9 cp"","""","""",""Autre"",""Comprime"",""52000"",""0"",""Non"",""6"""
"PN1265,""T-dol Rapid cp P B/10"","""","""",""Autre"",""Comprime"",""42000"",""0"",""Non"",""1"""
"PN0506,""T-dol P Rapid cp"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN1266,""Tegretol 200 mg cp"","""","""",""Autre"",""Comprime"",""103000"",""0"",""Non"",""1"""
"PN1267,""Tegretol LP 200 mg cp"","""","""",""Autre"",""Comprime"",""65000"",""0"",""Non"",""2"""
"PN1268,""Tegretol LP 400 mg cp"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN1269,""Tensiodip 5 mg cp"","""","""",""Autre"",""Comprime"",""54000"",""0"",""Non"",""5"""
"PN1270,""Tensiodip 10 mg cp"","""","""",""Autre"",""Comprime"",""67000"",""0"",""Non"",""13"""
"PN1271,""Ticasse 500 mg cp"","""","""",""Autre"",""Comprime"",""85500"",""0"",""Non"",""2"""
"PN1272,""Ticasse 1 g cp"","""","""",""Autre"",""Comprime"",""104000"",""0"",""Non"",""3"""
"PN0514,""Tensionorme cp"","""","""",""Autre"",""Comprime"",""30000"",""0"",""Non"",""4"""
"PN0515,""T-fer cp"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN1273,""Thiobactin 500 mg cp"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN0517,""Tinazol cp"","""","""",""Autre"",""Comprime"",""23000"",""0"",""Non"",""5"""
"PN1274,""Toco 500 mg cp"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN1275,""Tocfim 200 mg DT cp"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN1276,""Traclav 1 g cp"","""","""",""Autre"",""Comprime"",""105000"",""0"",""Non"",""3"""
"PN0521,""Top-3 kit cp"","""","""",""Autre"",""Comprime"",""70000"",""0"",""Non"",""3"""
"PN0522,""Tracedol cp"","""","""",""Autre"",""Comprime"",""58000"",""0"",""Non"",""2"""
"PN1277,""Tramadol DENK 50 mg"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN0524,""Tremadol cp"","""","""",""Autre"",""Comprime"",""60000"",""0"",""Non"",""2"""
"PN1278,""Tricef 400 mg cp"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN0526,""Triafene cp"","""","""",""Autre"",""Comprime"",""27000"",""0"",""Non"",""4"""
"PN0527,""Trialgic cp"","""","""",""Autre"",""Comprime"",""35000"",""0"",""Non"",""13"""
"PN0528,""Troycal cp"","""","""",""Autre"",""Comprime"",""47000"",""0"",""Non"",""3"""
"PN1279,""Trifene 200 mg cp"","""","""",""Autre"",""Comprime"",""24000"",""0"",""Non"",""3"""
"PN1280,""Trifene 400 mg cp"","""","""",""Autre"",""Comprime"",""28000"",""0"",""Non"",""4"""
"PN1281,""Triazide 5/25 mg cp"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN1282,""Triazide 10/12.5 mg cp"","""","""",""Autre"",""Comprime"",""151500"",""0"",""Non"",""1"""
"PN1283,""Triazide 10/25 mg cp"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN0534,""Vitamine C Upsa cp"","""","""",""Autre"",""Comprime"",""21000"",""0"",""Non"",""2"""
"PN0535,""Vik Vit C cp"","""","""",""Autre"",""Comprime"",""39000"",""0"",""Non"",""3"""
"PN1284,""Utrogestan 100 mg cp"","""","""",""Autre"",""Comprime"",""100000"",""0"",""Non"",""1"""
"PN1285,""Utrogestan 200 mg cp"","""","""",""Autre"",""Comprime"",""108000"",""0"",""Non"",""2"""
"PN1286,""Urbanyl 10 mg cp"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN1287,""Vastarel 35 mg cp"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN1288,""Vermox 100 mg cp"","""","""",""Autre"",""Comprime"",""27000"",""0"",""Non"",""3"""
"PN1289,""Vermox 500 mg cp"","""","""",""Autre"",""Comprime"",""23000"",""0"",""Non"",""12"""
"PN1290,""Verrex 400 mg cp"","""","""",""Autre"",""Comprime"",""21000"",""0"",""Non"",""7"""
"PN1291,""Verzol 400 mg cp"","""","""",""Autre"",""Comprime"",""18000"",""0"",""Non"",""6"""
"PN0544,""Vicombil cp"","""","""",""Autre"",""Comprime"",""60000"",""0"",""Non"",""1"""
"PN0545,""Vitamine C Galenica B/10 cp"","""","""",""Autre"",""Comprime"",""18000"",""0"",""Non"",""5"""
"PN0546,""Vitamine C Galenica B/20 cp"","""","""",""Autre"",""Comprime"",""24000"",""0"",""Non"",""9"""
"PN0547,""Vivagest cp"","""","""",""Autre"",""Comprime"",""116000"",""0"",""Non"",""4"""
"PN0548,""Visceralgine cp"","""","""",""Autre"",""Comprime"",""37000"",""0"",""Non"",""5"""
"PN0549,""Versino cp"","""","""",""Autre"",""Comprime"",""28000"",""0"",""Non"",""1"""
"PN0550,""Vitafact cp"","""","""",""Autre"",""Comprime"",""52000"",""0"",""Non"",""3"""
"PN0551,""Vitamine E forte cp"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN1292,""Voltarene 50 mg cp"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN1293,""Wormin 500 mg cp"","""","""",""Autre"",""Comprime"",""17000"",""0"",""Non"",""11"""
"PN1294,""Wormin 100 mg cp"","""","""",""Autre"",""Comprime"",""24000"",""0"",""Non"",""12"""
"PN1295,""Xykaa 500 mg cp"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN1296,""Xykaa 1 g cp"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN0557,""Xerin cp"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN0558,""X-flux cp"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN1297,""Zamudol LP 100 mg cp"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN1298,""Zentel 400 mg cp"","""","""",""Autre"",""Comprime"",""32000"",""0"",""Non"",""12"""
"PN0561,""Zerodol P cp"","""","""",""Autre"",""Comprime"",""47000"",""0"",""Non"",""3"""
"PN0562,""Zerodol CR cp"","""","""",""Autre"",""Comprime"",""58000"",""0"",""Non"",""4"""
"PN1299,""Zyloric 100 mg cp"","""","""",""Autre"",""Comprime"",""27000"",""0"",""Non"",""1"""
"PN1300,""Zyloric 200 mg cp"","""","""",""Autre"",""Comprime"",""42000"",""0"",""Non"",""1"""
"PN1301,""Zyloric 300 mg cp"","""","""",""Autre"",""Comprime"",""54000"",""0"",""Non"",""1"""
"PN0566,""Zocin cp"","""","""",""Autre"",""Comprime"",""93000"",""0"",""Non"",""3"""
