Code;Nom;DCI;Marque;Categorie;Forme;Prix Vente;Prix Achat;Ordonnance;Quantite;Peremption
;Aclav 1g B/12 Sh;;;;;;95000;;6;
;Aclav 1g B/16 Sh;;;;;;138000;;7;
;Aclav 500mg B/12 Sh;;;;;;93000;;6;
;Aclav 500mg B/16 Sh;;;;;;127000;;7;
;Alfamox 1g Sh;;;;;;78000;;3;
;Alfamox 500mg Sh;;;;;;55000;;5;
;Almax Forte Sh;;;;;;0;;0;
;Amfocin Sh 1g;;;;;;106000;;3;
;Amoxiclav DENK 1g Sh B/8;;;;;;81000;;3;
;Amoxiclav 1g DENK  Sh B/12;;;;;;114000;;5;
;Aspegic 100mg Sh;;;;;;37000;;7;
;Aspegic 250mg Sh;;;;;;0;;0;
;Aspegic 500mg Sh;;;;;;0;;0;
;Aspegic 1000mg Sh;;;;;;0;;0;
;Azithro 100mg Sh;;;;;;0;;0;
;Azithro 200mg Sh;;;;;;0;;0;
;Cefixidel 100mg Sh;;;;;;74000;;3;
;Creaclav 1g Sh;;;;;;0;;0;
;Bedelix Sh;;;;;;75000;;3;
;Biotic Plus B/14 Sh;;;;;;0;;0;
;Biotic Plus B/24 Sh;;;;;;174000;;1;
;Curam 1g B/12 Sh;;;;;;0;;0;
;Curam 1g B/24 Sh;;;;;;0;;0;
;Dolimex 200mg Sh;;;;;;22000;;2;
;Dolimex 300mg Sh;;;;;;22000;;3;
;Dolimex 500mg Sh;;;;;;19000;;2;
;Dolimex 1g Sh;;;;;;19000;;4;
;Doliprane 200mg Sh;;;;;;23000;;4;
;Doliprane 300mg Sh;;;;;;23000;;2;
;Efferalgan 250mg Sh;;;;;;23000;;1;
;Fortrans Sh;;;;;;78000;;1;
;Duphalac Sh;;;;;;49000;;2;
;Electrolyte Sh;;;;;;0;;0;
;Exomuc Sh;;;;;;62000;;1;
;Fervex enf Sh;;;;;;43000;;1;
;Fervex A/D Sh;;;;;;44000;;12;
;Forlax B/10 Sh;;;;;;40000;;3;
;Forlax B/20 Sh;;;;;;75000;;2;
;Gaviscon Sh;;;;;;0;;0;
;Genclav 250mg Sh;;;;;;58000;;3;
;Genclav 500mg Sh;;;;;;79000;;4;
;Genclav 1g Sh;;;;;;116000;;3;
;Immu C Sh;;;;;;0;;0;
;Immu Active Denk Sh;;;;;;121000;;1;
;Kardegic 75mg Sh;;;;;;0;;0;
;Kardegic 160mg Sh;;;;;;0;;0;
;Lufanter 80 Sh;;;;;;0;;0;
;Mucomyst Sh;;;;;;44000;;1;
;Maalox Sh;;;;;;58000;;1;
;Magnes Active Denk Sh;;;;;;107000;;1;
;Peptex Sh;;;;;;64000;;1;
;Rapidex Sh;;;;;;53000;;2;
;Recharge Active Sh;;;;;;0;;0;
;Rinomicine Sh;;;;;;35000;;3;
;Rinogrip Sh;;;;;;43000;;3;
;Rhumadol ped Sh;;;;;;0;;0;
;SRO Zinc Sh;;;;;;0;;0;
;Saphir 1g B/12 Sh;;;;;;93000;;1;
;Saphir 500mg Sh;;;;;;0;;0;
;Diosmectite Sh;;;;;;0;;0;
;Smecta B/10 Sh;;;;;;26000;;3;
;Smecta B/30 Sh;;;;;;75000;;1;
;Tiorfan enf Sh;;;;;;0;;0;
;Tributine Sh;;;;;;64000;;1;
;Trebon 200 Sh;;;;;;26000;;1;
;Trebon 600 Sh;;;;;;42000;;2;
;Zamox 500mg Sh;;;;;;62000;;1;
;Zamox 1g Sh B/12;;;;;;88000;;1;
;Zamox 1g Sh B/16;;;;;;116000;;1;
;Trofocard Max Sh;;;;;;87000;;3;
;Ulcar 1g Sh;;;;;;0;;0;
;Vitamax Café B/10 Sh;;;;;;30000;;22;
;Vitamax Miel B/10 Sh;;;;;;35000;;44;
;Bioherb Sucré (Dr Secret) B/8 Sh;;;;;;35000;;12;
;Bioherb Sans Sucre (Dr Secret) B/8 Sh;;;;;;36000;;16;
;Dynamogene Amp/Buv;;;;;;74000;;3;
;Mag 2 Amp/Buv;;;;;;95000;;15;
;Magnoral Amp/Buv;;;;;;0;;0;
;Maximag Amp/Buv;;;;;;0;;0;
;Potenciator Amp/Buv;;;;;;0;;0;
;Revitalose A/B Amp/Buv;;;;;;88000;;6;
;Rocmaline Amp/Buv;;;;;;0;;0;
;Sargenor 1f Amp/Buv;;;;;;69000;;6;
;Stimol Amp/Buv;;;;;;31000;;1;
;Tothema Amp/Buv;;;;;;66000;;6;
;Rhumix Sh ;;;;;;22000;;5;
;Doliprane 500 Sh ;;;;;;21000;;2;
;Rinogripp SS;;;;;;0;;0;
;Saphir 1g B;;;;;;138000;;1;
;Smecta Fraise;;;;;;44000;;1;
;Soclav 1g B/16;;;;;;141000;;1;
;Soclav 500mg B/16;;;;;;114000;;1;
;Magnes Denk Sh;;;;;;107000;;1;
