"Code","Nom","DCI","Marque","Categorie","Forme","Prix Vente","Prix Achat","Rx","Quantite"
"PN0948","Calben sp","","","Autre","Comprime","12000","0","Non","9"
"PN0949","Caltoux enf sp","","","Autre","Comprime","21000","0","Non","3"
"PN0950","Caltoux A/D sp","","","Autre","Comprime","29000","0","Non","3"
"PN0951","Carbotoux enf sp","","","Autre","Comprime","22000","0","Non","5"
"PN0952","Carbotoux A/D sp","","","Autre","Comprime","29000","0","Non","8"
"PN0953","Cipcal sp","","","Autre","Comprime","40000","0","Non","3"
"PN0954","Buto-Asma spr","","","Autre","Comprime","55000","0","Non","4"
"PN0955","Brustan sp","","","Autre","Comprime","0","0","Non","0"
"PN0956","Bronex sp","","","Autre","Comprime","29000","0","Non","2"
"PN0957","Broxol sp","","","Autre","Comprime","37000","0","Non","3"
"PN0958","Brufen sp","","","Autre","Comprime","57000","0","Non","3"
"PN0959","Bronquidiazina sp","","","Autre","Comprime","51000","0","Non","2"
"PN0960","Broncathiol enf sp","","","Autre","Comprime","0","0","Non","0"
"PN0961","Broncathiol A/D sp","","","Autre","Comprime","44000","0","Non","3"
"PN0962","Applift sp","","","Autre","Comprime","36000","0","Non","1"
"PN0963","Appetine sp","","","Autre","Comprime","26000","0","Non","3"
"PN0964","Appetine Viatamine sp","","","Autre","Comprime","35000","0","Non","2"
"PN0965","Appetamine sp","","","Autre","Comprime","45000","0","Non","2"
"PN0966","Apdyl-H sp","","","Autre","Comprime","35000","0","Non","3"
"PN0967","Anginovag spr","","","Autre","Comprime","47000","0","Non","7"
"PN0968","Angispray spr","","","Autre","Comprime","0","0","Non","0"
"PN0969","Anticide plus sp","","","Autre","Comprime","29000","0","Non","5"
"PN0970","Amibazol sp","","","Autre","Comprime","0","0","Non","0"
"PN0971","Amifer sp","","","Autre","Comprime","51000","0","Non","2"
"PN0972","Ambrolite GH sp","","","Autre","Comprime","0","0","Non","0"
"PN0973","Almax forte sp","","","Autre","Comprime","0","0","Non","0"
"PN0974","Alvityl sp","","","Autre","Comprime","86000","0","Non","1"
"PN0975","Algofene sp","","","Autre","Comprime","35000","0","Non","2"
"PN0976","Astyfer sp","","","Autre","Comprime","53000","0","Non","1"
"PN0977","Alfamox sp","","","Autre","Comprime","0","0","Non","0"
"PN0978","Advilmed sp","","","Autre","Comprime","0","0","Non","0"
"PN0979","Alzol sp","","","Autre","Comprime","28000","0","Non","5"
"PN0980","Arginine veyron sp","","","Autre","Comprime","100000","0","Non","2"
"PN0981","Acure 20/120 sp","","","Autre","Comprime","26000","0","Non","2"
"PN0982","Acure 40/240 sp","","","Autre","Comprime","34000","0","Non","2"
"PN0983","Acure 60/360 sp","","","Autre","Comprime","35000","0","Non","2"
"PN0984","Acigene sp","","","Autre","Comprime","26000","0","Non","3"
"PN0985","Acefyl sp","","","Autre","Comprime","20000","0","Non","6"
"PN0986","Actimag sp","","","Autre","Comprime","71000","0","Non","3"
"PN0987","Aclav enf sp","","","Autre","Comprime","84000","0","Non","3"
"PN0988","Bimalaril Adolescent sp","","","Autre","Comprime","51000","0","Non","1"
"PN0989","Bimalaril Enfant sp","","","Autre","Comprime","45000","0","Non","8"
"PN0990","Bimalaril NN sp","","","Autre","Comprime","27000","0","Non","5"
"PN0991","Bimalaril Adolescent cp","","","Autre","Comprime","0","0","Non","0"
"PN0992","Bimalaril Enfant cp","","","Autre","Comprime","45000","0","Non","6"
"PN0993","Bimalaril NN cp","","","Autre","Comprime","27000","0","Non","2"
"PN0994","Betalin sp gtte","","","Autre","Comprime","0","0","Non","0"
"PN0995","Bekracine sp","","","Autre","Comprime","0","0","Non","0"
"PN0996","Bibactin sp","","","Autre","Comprime","22000","0","Non","2"
"PN0997","Biba sp","","","Autre","Comprime","49000","0","Non","2"
"PN0998","Beclav sp","","","Autre","Comprime","65000","0","Non","1"
"PN0999","Bactoxine sp","","","Autre","Comprime","0","0","Non","0"
"PN1000","Bioferon 12 sp","","","Autre","Comprime","0","0","Non","0"
"PN1242","Bactox 250 mg sp","","","Autre","Comprime","30000","0","Non","2"
"PN1002","Azicure sp","","","Autre","Comprime","81000","0","Non","3"
"PN1003","Augmentin enf sp","","","Autre","Comprime","0","0","Non","0"
"PN1004","Atovit sp","","","Autre","Comprime","0","0","Non","0"
"PN1005","Aminopep sp","","","Autre","Comprime","53000","0","Non","4"
"PN1006","Amoxidel 125 sp","","","Autre","Comprime","24000","0","Non","9"
"PN1243","Amoxidel 250 sp","","","Autre","Comprime","32000","0","Non","17"
"PN1008","Atofer ZN sp","","","Autre","Comprime","0","0","Non","0"
