"Code";"Nom";"DCI";"Marque";"Categorie";"Forme";"Prix Vente";"Prix Achat";"Ordonnance";"Quantite";"Peremption"
"";"Flagyl sp";"";"";"";"";"";"42000";"";"3";""
"";"Fleming 250 sp";"";"";"";"";"";"43000";"";"6";""
"";"Flucazol sp";"";"";"";"";"";"44000";"";"8";""
"";"Fluditec enf sp";"";"";"";"";"";"32000";"";"2";""
"";"Fluditec A/D sp";"";"";"";"";"";"35000";"";"4";""
"";"Fuclo 250 sp";"";"";"";"";"";"88000";"";"1";""
"";"Fluvermal sp";"";"";"";"";"";"60000";"";"4";""
"";"Flucogen sp";"";"";"";"";"";"51000";"";"1";""
"";"Gaviscon sp";"";"";"";"";"";"";"";"0";""
"";"Gastrogel O sp";"";"";"";"";"";"";"";"0";""
"";"Gastrogel plus sp";"";"";"";"";"";"42000";"";"10";""
"";"Gamalate B6 sp";"";"";"";"";"";"68000";"";"1";""
"";"Genacid sp";"";"";"";"";"";"";"";"0";""
"";"Gastrogel sp";"";"";"";"";"";"23000";"";"3";""
"";"Genforte GH sp";"";"";"";"";"";"21000";"";"16";""
"";"Guaflex sp";"";"";"";"";"";"";"";"0";""
"";"Gynofert sp";"";"";"";"";"";"";"";"0";""
"";"Hapenz sp";"";"";"";"";"";"47000";"";"2";""
"";"Helicidine 125 ml sp";"";"";"";"";"";"35000";"";"2";""
"";"Helicidine 250 ml sp";"";"";"";"";"";"60000";"";"5";""
"";"Hemafer sp";"";"";"";"";"";"56000";"";"6";""
"";"Helmintox 125 mg sp";"";"";"";"";"";"35000";"";"11";""
"";"Hemofer sp";"";"";"";"";"";"";"";"0";""
"";"HPV eurolab gtte";"";"";"";"";"";"26000";"";"2";""
"";"HPV hydrosol gtte";"";"";"";"";"";"25000";"";"5";""
"";"Ibumol sp";"";"";"";"";"";"0";"";"0";""
