"Code","Nom","DCI","Marque","Categorie","Forme","Prix Vente","Prix Achat","Rx","Quantite"
"PN1052","Flagyl sp","","","Autre","Comprime","42000","0","Non","3"
"PN0820","Fleming 250 sp","","","Autre","Comprime","43000","0","Non","6"
"PN0821","Flucazol sp","","","Autre","Comprime","44000","0","Non","8"
"PN0822","Fluditec enf sp","","","Autre","Comprime","32000","0","Non","2"
"PN0823","Fluditec A/D sp","","","Autre","Comprime","35000","0","Non","4"
"PN0824","Fuclo 250 sp","","","Autre","Comprime","88000","0","Non","1"
"PN0825","Fluvermal sp","","","Autre","Comprime","60000","0","Non","4"
"PN0826","Flucogen sp","","","Autre","Comprime","51000","0","Non","1"
"PN0827","Gaviscon sp","","","Autre","Comprime","0","0","Non","0"
"PN0828","Gastrogel O sp","","","Autre","Comprime","0","0","Non","0"
"PN0829","Gastrogel plus sp","","","Autre","Comprime","42000","0","Non","10"
"PN0830","Gamalate B6 sp","","","Autre","Comprime","68000","0","Non","1"
"PN0831","Genacid sp","","","Autre","Comprime","0","0","Non","0"
"PN0832","Gastrogel sp","","","Autre","Comprime","23000","0","Non","3"
"PN0833","Genforte GH sp","","","Autre","Comprime","21000","0","Non","16"
"PN0834","Guaflex sp","","","Autre","Comprime","0","0","Non","0"
"PN0835","Gynofert sp","","","Autre","Comprime","0","0","Non","0"
"PN0836","Hapenz sp","","","Autre","Comprime","47000","0","Non","2"
"PN0837","Helicidine 125 ml sp","","","Autre","Comprime","35000","0","Non","2"
"PN0838","Helicidine 250 ml sp","","","Autre","Comprime","60000","0","Non","5"
"PN0839","Hemafer sp","","","Autre","Comprime","56000","0","Non","6"
"PN1353","Helmintox 125 mg sp","","","Autre","Comprime","35000","0","Non","11"
"PN0841","Hemofer sp","","","Autre","Comprime","0","0","Non","0"
"PN0842","HPV eurolab gtte","","","Autre","Comprime","26000","0","Non","2"
"PN0843","HPV hydrosol gtte","","","Autre","Comprime","25000","0","Non","5"
"PN0844","Ibumol sp","","","Autre","Comprime","0","0","Non","0"
