"Code","Nom","DCI","Marque","Categorie","Forme","Prix Vente","Prix Achat","Rx","Quantite"
"PN0125","Calben 400 MG CP","","","Autre","Comprime","12000","0","Non","6"
"PN0126","Calcibronat cp","","","Autre","Comprime","53000","0","Non","5"
"PN0127","Calci D denk cp","","","Autre","Comprime","104000","0","Non","5"
"PN0128","Calcium active denk cp","","","Autre","Comprime","54000","0","Non","4"
"PN0129","Calsource cp","","","Autre","Comprime","40000","0","Non","1"
"PN0130","Calgin cp","","","Autre","Comprime","15000","0","Non","6"
"PN0131","Captopril 25mg cp B/20","","","Autre","Comprime","38000","0","Non","3"
"PN0132","Carben 500mg cp","","","Autre","Comprime","22000","0","Non","2"
"PN0133","Carben 100mg cp","","","Autre","Comprime","21000","0","Non","10"
"PN0134","Capen cp 25g B/30","","","Autre","Comprime","51500","0","Non","3"
"PN0135","Cardiurine cp","","","Autre","Comprime","68000","0","Non","3"
"PN0136","Cardix 6.25 cp","","","Autre","Comprime","0","0","Non","0"
"PN0137","Cardiovalam GH cp","","","Autre","Comprime","243000","0","Non","3"
"PN0138","Colosar Denk 100/12.5 cp","","","Autre","Comprime","191000","0","Non","10"
"PN0139","Carvedi Denk 25mg cp","","","Autre","Comprime","116000","0","Non","1"
"PN0140","Carvedi Denk 6.25mg cp","","","Autre","Comprime","0","0","Non","0"
"PN0141","Cataflam 25mg cp","","","Autre","Comprime","33000","0","Non","2"
"PN0142","Cataflam 50mg cp","","","Autre","Comprime","66000","0","Non","1"
"PN0143","Cefaloral 100mg cp","","","Autre","Comprime","74000","0","Non","2"
"PN0144","Cefaloral 200mg cp","","","Autre","Comprime","85000","0","Non","3"
"PN0145","Cefixidel cp 200g cp","","","Autre","Comprime","78000","0","Non","2"
"PN0146","Cenazol 500mg cp","","","Autre","Comprime","34000","0","Non","1"
"PN0147","Cenazol 250mg cp","","","Autre","Comprime","26000","0","Non","5"
"PN0148","Cetamyl 500mg cp","","","Autre","Comprime","18000","0","Non","5"
"PN0149","Cetamyl 1g cp","","","Autre","Comprime","22000","0","Non","3"
"PN0150","Celestene 2mg cp","","","Autre","Comprime","0","0","Non","0"
"PN0151","Cefixim 200mg BGR cp","","","Autre","Comprime","58000","0","Non","3"
"PN0152","Ceficap 400mg cp","","","Autre","Comprime","110000","0","Non","1"
"PN0153","Chophytol cp","","","Autre","Comprime","0","0","Non","0"
