"Produit,Quantite,Prix_Unitaire_GNF"
"Sur-eau,,"
"Longrich petit,,30000.0"
"Longrich grand,,60000.0"
"Colgate Herbal,,20000.0"
"Colgate Total,,30000.0"
"Colgate Triple Action,,20000.0"
"Colgate MaxFresh,,20000.0"
"Brosse Colgate (15),,15000.0"
"Brosse Colgate (10),,10000.0"
"Conforta clip normal,,10000.0"
"Conforta clip super,,10000.0"
"Conforta clip nuit,,10000.0"
"Pampers Confy bébé,,75000.0"
"Pampers Confy Adulte,,10000.0"
"Pampers Confy bébé 3,,75000.0"
"Pampers Confy bébé 4,,75000.0"
"Pampers Confy bébé 5,,75000.0"
"serviette hygiénique Moi ,,10000.0"
"serviette hygiénique Perfect nuit,,10000.0"
"serviette hygiénique Perfect Maxi,,10000.0"
"serviette hygiénique Perfect Super,,10000.0"
"Serviette hygiénique Confy Maxi,,15000.0"
"Confy Maxi extra long,,15000.0"
"Confy Maxi normal,,15000.0"
"Biberon plastique minitree 330ml,,40000.0"
"Biberon only 80ml,,15000.0"
"Biberon minitree 150ml,,25000.0"
"Biberon logao 260ml,,35000.0"
"Biberon Professionnel 300ml,,35000.0"
"Biberon Minitree 480ml,,40000.0"
"Lingette Confy,,30000.0"
"Biberon verre minitree 260ml,,50000.0"
"Biberon verre Baby Safe 300ml,,60000.0"
"Biberon verre Hello Baby 240ml,,50000.0"
"Biberon verre Sweet Baby 150ml,,35000.0"
"Biberon verre Doranierre 120ml,,40000.0"
"Biberon verre Pink 60ml,,25000.0"
"Sucette baby 0m+,,20000.0"
"Sucette minitree 6m+,,25000.0"
"Cérélac riz,,55000.0"
"Cérélac blé,,50000.0"
"Cérélac 3 fruits,,55000.0"
"Nane 1,,75000.0"
"Nursie 1,,75000.0"
"Nursie 2,,70000.0"
"Nursie Confort 1,,100000.0"
"Nursie Confort 2,,100000.0"
"Blédine blé,,40000.0"
"Blédine fruit,,40000.0"
"Blédine miel,,40000.0"
"Blédine biscuit,,40000.0"
"Blédine lactée,,40000.0"
"Sucre diabétique,,30000.0"
