"Code,""Nom"",""DCI"",""Marque"",""Categorie"",""Forme"",""Prix Vente"",""Prix Achat"",""Rx"",""Quantite"""
"PARA0001,""Sur-eau"","""","""",""Parapharmacie"","""",""0"",""0"",""Non"",""0"""
"PARA0002,""Longrich petit"","""","""",""Parapharmacie"","""",""30000"",""0"",""Non"",""0"""
"PARA0003,""Longrich grand"","""","""",""Parapharmacie"","""",""60000"",""0"",""Non"",""0"""
"PARA0004,""Colgate Herbal"","""","""",""Parapharmacie"","""",""20000"",""0"",""Non"",""0"""
"PARA0005,""Colgate Total"","""","""",""Parapharmacie"","""",""30000"",""0"",""Non"",""0"""
"PARA0006,""Colgate Triple Action"","""","""",""Parapharmacie"","""",""20000"",""0"",""Non"",""0"""
"PARA0007,""Colgate MaxFresh"","""","""",""Parapharmacie"","""",""20000"",""0"",""Non"",""0"""
"PARA0008,""Brosse Colgate (15)"","""","""",""Parapharmacie"","""",""15000"",""0"",""Non"",""0"""
"PARA0009,""Brosse Colgate (10)"","""","""",""Parapharmacie"","""",""10000"",""0"",""Non"",""0"""
"PARA0010,""Conforta clip normal"","""","""",""Parapharmacie"","""",""10000"",""0"",""Non"",""0"""
"PARA0011,""Conforta clip super"","""","""",""Parapharmacie"","""",""10000"",""0"",""Non"",""0"""
"PARA0012,""Conforta clip nuit"","""","""",""Parapharmacie"","""",""10000"",""0"",""Non"",""0"""
"PARA0013,""Pampers Confy bÃ©bÃ©"","""","""",""Parapharmacie"","""",""75000"",""0"",""Non"",""0"""
"PARA0014,""Pampers Confy Adulte"","""","""",""Parapharmacie"","""",""10000"",""0"",""Non"",""0"""
"PARA0015,""Pampers Confy bÃ©bÃ© 3"","""","""",""Parapharmacie"","""",""75000"",""0"",""Non"",""0"""
"PARA0016,""Pampers Confy bÃ©bÃ© 4"","""","""",""Parapharmacie"","""",""75000"",""0"",""Non"",""0"""
"PARA0017,""Pampers Confy bÃ©bÃ© 5"","""","""",""Parapharmacie"","""",""75000"",""0"",""Non"",""0"""
"PARA0018,""serviette hygiÃ©nique Moi"","""","""",""Parapharmacie"","""",""10000"",""0"",""Non"",""0"""
"PARA0019,""serviette hygiÃ©nique Perfect nuit"","""","""",""Parapharmacie"","""",""10000"",""0"",""Non"",""0"""
"PARA0020,""serviette hygiénique Perfect Maxi"","""","""",""Parapharmacie"","""",""10000"",""0"",""Non"",""0"""
"PARA0021,""serviette hygiénique Perfect Super"","""","""",""Parapharmacie"","""",""10000"",""0"",""Non"",""0"""
"PARA0022,""Serviette hygiénique Confy Maxi"","""","""",""Parapharmacie"","""",""15000"",""0"",""Non"",""0"""
"PARA0023,""Confy Maxi extra long"","""","""",""Parapharmacie"","""",""15000"",""0"",""Non"",""0"""
"PARA0024,""Confy Maxi normal"","""","""",""Parapharmacie"","""",""15000"",""0"",""Non"",""0"""
"PARA0025,""Biberon plastique minitree 330ml"","""","""",""Parapharmacie"","""",""40000"",""0"",""Non"",""0"""
"PARA0026,""Biberon only 80ml"","""","""",""Parapharmacie"","""",""15000"",""0"",""Non"",""0"""
"PARA0027,""Biberon minitree 150ml"","""","""",""Parapharmacie"","""",""25000"",""0"",""Non"",""0"""
"PARA0028,""Biberon logao 260ml"","""","""",""Parapharmacie"","""",""35000"",""0"",""Non"",""0"""
"PARA0029,""Biberon Professionnel 300ml"","""","""",""Parapharmacie"","""",""35000"",""0"",""Non"",""0"""
"PARA0030,""Biberon Minitree 480ml"","""","""",""Parapharmacie"","""",""40000"",""0"",""Non"",""0"""
"PARA0031,""Lingette Confy"","""","""",""Parapharmacie"","""",""30000"",""0"",""Non"",""0"""
"PARA0032,""Biberon verre minitree 260ml"","""","""",""Parapharmacie"","""",""50000"",""0"",""Non"",""0"""
"PARA0033,""Biberon verre Baby Safe 300ml"","""","""",""Parapharmacie"","""",""60000"",""0"",""Non"",""0"""
"PARA0034,""Biberon verre Hello Baby 240ml"","""","""",""Parapharmacie"","""",""50000"",""0"",""Non"",""0"""
"PARA0035,""Biberon verre Sweet Baby 150ml"","""","""",""Parapharmacie"","""",""35000"",""0"",""Non"",""0"""
"PARA0036,""Biberon verre DoraniÃ¨re 120ml"","""","""",""Parapharmacie"","""",""40000"",""0"",""Non"",""0"""
