Code;Nom;DCI;Marque;Categorie;Forme;Prix Vente;Prix Achat;Ordonnance;Quantite;Peremption
;Hemafer cp/eff;;;;;;77000;;4;
;Hemafer fol eff cp;;;;;;77000;;5;
;Hemafer ccp/crocquer;;;;;;99000;;6;
;Hemafer fol cp/crocquer;;;;;;0;;0;
;Helicocin cp;;;;;;0;;0;
;Ibumol cp;;;;;;18000;;6;
;Isolone 5mg cp;;;;;;41000;;1;
;Isolone 20mg cp;;;;;;77000;;1;
;Inflacam cp;;;;;;70000;;1;
;Ibuprofene 400mg BGR cp;;;;;;0;;0;
;Imodium cp;;;;;;45000;;7;
;Ideos cp;;;;;;0;;0;
;Imox cp;;;;;;23000;;9;
;Ibex cp;;;;;;20000;;10;
;Ibuprofene Denk 600mg cp;;;;;;0;;0;
;Intercef 100 cp;;;;;;81000;;1;
;Intercef 200 cp;;;;;;93000;;1;
;Imuclav 1g cp;;;;;;0;;0;
;Joint Active cp;;;;;;214000;;1;
;Joyclav 1g cp;;;;;;0;;0;
;Jespere 50mg cp;;;;;;70000;;2;
;Ketoprofen GH 100mg cp;;;;;;0;;0;
;Ketoprofen LP 100mg cp;;;;;;0;;0;
;Kinafon cp;;;;;;0;;0;
;Kilmol cp;;;;;;47000;;1;
;Kinal Codeïne cp;;;;;;0;;0;
;Kaleorid CP 600mg cp;;;;;;0;;0;
;Klipal 300mg cp;;;;;;37000;;14;
;Klipal 600mg cp;;;;;;40000;;10;
;Lansocap cp;;;;;;0;;0;
;Laritem 20/120 cp;;;;;;12000;;1;
;Laritem 40/240 cp;;;;;;30000;;2;
;Laritem 80/480 cp;;;;;;45000;;2;
;Laroscorbine B/10 cp 1g;;;;;;0;;0;
;Laroscorbine B/30 cp 500mg;;;;;;50000;;1;
;Lasilix 40mg cp;;;;;;46000;;1;
;Lerin cp;;;;;;57000;;1;
;Libertex cp;;;;;;20000;;10;
;Lodoz 5/6.25mg cp;;;;;;0;;0;
;Lodoz 10/6.25mg cp;;;;;;99000;;1;
;Lolip 10mg cp;;;;;;0;;0;
;Lufamet DS cp;;;;;;44000;;2;
;Lutenyl 5mg cp;;;;;;0;;0;
;Lumiter DS cp;;;;;;51000;;3;
;Lufanter 40mg B/12 cp;;;;;;45000;;1;
;Lufanter disp 20/120mg cp;;;;;;0;;0;
;Lyso 6 cp;;;;;;138000;;1;
;Meteoxane cp;;;;;;0;;0;
;Melex cp;;;;;;126000;;2;
;Metformine 500mg BGR cp;;;;;;15000;;4;
;Metformine 850mg BGR cp;;;;;;30000;;4;
;Metformine 1000mg BGR cp;;;;;;35000;;3;
;Metformine Denk 500mg cp;;;;;;21000;;2;
;Metformine Denk 850mg cp;;;;;;45000;;6;
;Metformine Denk 1000mg cp;;;;;;43000;;2;
;Meteospasmyl cp;;;;;;61000;;3;
;Macromax cp;;;;;;104000;;1;
;Malacure 20/120 B/6;;;;;;12000;;2;
;Malacure 40/360 B/12 cp;;;;;;0;;0;
;Malacure 40/320 B/9 cp;;;;;;0;;0;
;Magnesium Marin Forte cp;;;;;;86000;;1;
;Migretil cp;;;;;;44000;;2;
;Myocalm cp;;;;;;122000;;3;
;Misodia cp;;;;;;25000;;5;
;Neurodol cp;;;;;;0;;0;
;Naturex pastille cp Gingembre;;;;;;42000;;1;
;Natrixam 1.5/5mg cp;;;;;;0;;0;
;Natrixam 1.5/10mg cp;;;;;;150000;;1;
;Nauselium cp;;;;;;39000;;3;
;Neurocobal cp;;;;;;84000;;10;
;Neural 150mg cp;;;;;;0;;0;
;Neural 75mg cp;;;;;;84000;;2;
;Nidazol 250mg cp;;;;;;41000;;5;
;Nidazol 500mg cp;;;;;;44000;;2;
;Neurobion cp;;;;;;52000;;1;
;Neagyl 80mg cp;;;;;;0;;0;
;Nifluril cp;;;;;;40000;;3;
;Nucleo CMP forte cp;;;;;;108000;;2;
;Norfen 400mg cp;;;;;;88000;;2;
;Norflozole cp;;;;;;70000;;2;
;Norlevo cp;;;;;;68000;;7;
;Neurogil 75mg cp;;;;;;151000;;1;
;Nortens forte cp;;;;;;84000;;3;
;Nortens plus cp;;;;;;84000;;3;
;Nospa 40mg cp;;;;;;30000;;2;
;Novalgin cp;;;;;;30000;;2;
;Omiz B/14 cp;;;;;;52000;;1;
;Omiz B/28 cp;;;;;;88000;;2;
;Oflocine cp;;;;;;0;;0;
;Oflocet 200mg cp;;;;;;104000;;3;
;Oflomac 200mg cp;;;;;;60000;;1;
;Oflomac 400mg cp;;;;;;70000;;1;
;Oflor cp;;;;;;81000;;3;
;Omeprazol BGR B/14 cp;;;;;;54000;;3;
;Omeprazol BGR B/28 cp;;;;;;80000;;2;
;Oroperydis cp;;;;;;35000;;4;
;Oedes B/14 cp;;;;;;66000;;2;
;Oedes B/28 cp;;;;;;118000;;1;
;Ospen 1M.U.I cp;;;;;;49000;;7;
;Oramid cp;;;;;;74000;;6;
;Ospamox 500mg cp;;;;;;0;;0;
;Ospamox 1g cp;;;;;;55000;;2;
;Oxyboldine cp;;;;;;45000;;3;
;Ocuguard cp;;;;;;0;;0;
;Oziben 100mg cp B/6;;;;;;22000;;4;
;Oziben 500mg cp B/1;;;;;;21000;;7;
;Palumil Adulte cp;;;;;;56000;;2;
;Palucure 20/120 cp;;;;;;0;;0;
;Palacure 40/240 cp;;;;;;0;;0;
;Papofer cp;;;;;;51000;;2;
;Prazol B/14 cp;;;;;;68000;;1;
;Prazol B/28 cp;;;;;;104000;;1;
;Panto Denk 20mg cp;;;;;;104000;;3;
;Panto Denk 40mg cp;;;;;;150000;;2;
;Panadol Advance cp;;;;;;17000;;11;
;Panadol Extra cp;;;;;;0;;0;
;Panalgic cp;;;;;;22000;;1;
;Caplin Painex B/10mg cp;;;;;;18000;;3;
;Caplin Painex B/30mg cp;;;;;;0;;0;
;Paraco Denk cp;;;;;;35000;;6;
;panadex cp;;;;;;47000;;4;
;Pill 72 cp;;;;;;42000;;5;
;Perispasm cp;;;;;;0;;0;
;Phenergan cp;;;;;;17000;;20;
;Preventacare F cp;;;;;;0;;0;
;Plencoxib 200mg cp;;;;;;92000;;1;
;Predni 20mg cp;;;;;;56000;;6;
;Prenatal Denk cp;;;;;;76000;;1;
;Prenatal + DHA cp;;;;;;140000;;1;
;Princi B fort cp;;;;;;92000;;2;
;Profiz forte cp;;;;;;0;;0;
;Primalan 10mg cp;;;;;;0;;0;
;Primalan 5mg cp;;;;;;52000;;3;
;Plufentrine 80mg cp;;;;;;44000;;2;
;Profenid 50mg;;;;;;37000;;1;
;Protec pill cp;;;;;;35000;;4;
;Propofan cp;;;;;;44000;;2;
;Profenol cp;;;;;;30000;;1;
;Prokefen 100 mg cp;;;;;;0;;0;
;Quinex 300mg cp;;;;;;0;;0;
;Neurogab 150;;;;;;0;;0;
;potenid 100mg;;;;;;68000;;1;
;plasmoar 20/120;;;;;;27000;;2;
;plasmoar 80/640 B1;;;;;;74000;;1;
;plasmoar 80/640 B6;;;;;;62000;;2;
;plasmoar 40/320;;;;;;41000;;1;
;Nasonex 120 spray;;;;;;202000;;1;
;Naaxia cy;;;;;;0;;0;
;Mydriaticum cy;;;;;;34000;;1;
;Maxidrol cy;;;;;;32000;;6;
;Maxidrol pde;;;;;;0;;0;
;Marimer baby isotonique spray;;;;;;70000;;1;
;Marimer baby hypertonique spray;;;;;;70000;;1;
;Marimer isotonique spray;;;;;;70000;;1;
;Marimer hypertonique spray;;;;;;70000;;2;
;Gel larmes;;;;;;0;;0;
;Genta cy;;;;;;23000;;11;
;Gentasol cy;;;;;;20000;;12;
;Gatistar cy;;;;;;61000;;1;
;Ciloxan cy;;;;;;75000;;1;
;Apdrops cy;;;;;;121000;;1;
;Patadin cy;;;;;;63000;;3;
;Frakidex cy;;;;;;0;;0;
;Floxsol cy;;;;;;19000;;1;
;Difenasol cy;;;;;;19000;;4;
;Duotrav cy;;;;;;0;;0;
;Cromosol cy;;;;;;19000;;3;
;Cromoptic cy;;;;;;0;;0;
;Co-Avazir cy;;;;;;53000;;1;
;Collyre bleu cy;;;;;;44000;;5;
;cerulyse cy;;;;;;34000;;1;
;Chibrocadron cy;;;;;;0;;0;
;Chibroxine cy;;;;;;0;;0;
;Correctol cy;;;;;;0;;0;
;Cetraxalplus gtte;;;;;;92000;;4;
;Cetraxal Otico gtte;;;;;;0;;0;
;Apdrops dx cy;;;;;;145000;;1;
;Azopt cy;;;;;;0;;0;
;Antibiosynalar gtte;;;;;;43000;;1;
;Narisol cy;;;;;;0;;0;
;Twinzol cy;;;;;;174000;;4;
;Trillerg cy;;;;;;53000;;3;
;Tobrex cy;;;;;;34000;;4;
;Timosol cy;;;;;;19000;;1;
;Sterdex pde;;;;;;0;;0;
;Respibien gtte;;;;;;27000;;1;
;Rifamycine cy;;;;;;0;;0;
;Polydexa gtte;;;;;;33000;;18;
;Polyfresh cy;;;;;;70000;;3;
;Physiodose 15 unidose;;;;;;34000;;5;
;Physiodose 30 unidoses;;;;;;58000;;3;
;Tetracycline pde;;;;;;5000;;10;
;ofusidic cy;;;;;;58000;;2;
;Otrivine enf gtte;;;;;;25000;;2;
;Otrivine A/D gtte;;;;;;0;;0;
;Otofa gtte;;;;;;0;;0;
;Otipax gtte;;;;;;0;;0;
;Boncipro gtte/cy;;;;;;35000;;2;
;Orchazid cy;;;;;;0;;0;
;Orchapred cy;;;;;;58000;;1;
;Opticron cy;;;;;;60000;;1;
;Opatanol cy;;;;;;86000;;3;
;Optipred cy;;;;;;0;;0;
;Neomdexsol cy;;;;;;19000;;6;
;Niclosamide cp;;;;;;0;;0;
;Ciprofloxacine cp;;;;;;10000;;9;
;Amoxicilline entrance cp;;;;;;0;;0;
;Roipar grippe cp;;;;;;6000;;13;
;Afine cp;;;;;;5000;;103;
;Litacold cp;;;;;;6000;;115;
;Rapidex cp;;;;;;6000;;163;
;Paradik cp;;;;;;0;;0;
;kinal ibu cp;;;;;;0;;0;
;T-Afnac cp;;;;;;18000;;3;
;Albela cp;;;;;;7000;;7;
;Parafizz 500mg cp;;;;;;3000;;123;
;Parafizz 1g cp;;;;;;0;;0;
;Genforte cp;;;;;;17000;;6;
;Febrilex cp;;;;;;8000;;45;
;B-vit fort cp;;;;;;11000;;5;
;Maloxine cp;;;;;;12000;;30;
;Vit B Denk cp;;;;;;14000;;3;
;Dynapar 500/50;;;;;;19000;;15;
;Mebendazole ibu 100mg cp;;;;;;4000;;49;
;Claben cp;;;;;;0;;0;
;Nifenidi Denk cp;;;;;;14000;;6;
