"Code,""Nom"",""DCI"",""Marque"",""Categorie"",""Forme"",""Prix Vente"",""Prix Achat"",""Rx"",""Quantite"""
"PN0312,""Hemafer cp/eff"","""","""",""Autre"",""Comprime"",""77000"",""0"",""Non"",""4"""
"PN0313,""Hemafer fol eff cp"","""","""",""Autre"",""Comprime"",""77000"",""0"",""Non"",""5"""
"PN0314,""Hemafer ccp/crocquer"","""","""",""Autre"",""Comprime"",""99000"",""0"",""Non"",""6"""
"PN0315,""Hemafer fol cp/crocquer"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN0316,""Helicocin cp"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN0317,""Ibumol cp"","""","""",""Autre"",""Comprime"",""18000"",""0"",""Non"",""6"""
"PN0318,""Isolone 5mg cp"","""","""",""Autre"",""Comprime"",""41000"",""0"",""Non"",""1"""
"PN0319,""Isolone 20mg cp"","""","""",""Autre"",""Comprime"",""77000"",""0"",""Non"",""1"""
"PN0320,""Inflacam cp"","""","""",""Autre"",""Comprime"",""70000"",""0"",""Non"",""1"""
"PN0321,""Ibuprofene 400mg BGR cp"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN0322,""Imodium cp"","""","""",""Autre"",""Comprime"",""45000"",""0"",""Non"",""7"""
"PN0323,""Ideos cp"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN0324,""Imox cp"","""","""",""Autre"",""Comprime"",""23000"",""0"",""Non"",""9"""
"PN0325,""Ibex cp"","""","""",""Autre"",""Comprime"",""20000"",""0"",""Non"",""10"""
"PN0326,""Ibuprofene Denk 600mg cp"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN1242,""Intercef 100 cp"","""","""",""Autre"",""Comprime"",""81000"",""0"",""Non"",""1"""
"PN0328,""Intercef 200 cp"","""","""",""Autre"",""Comprime"",""93000"",""0"",""Non"",""1"""
"PN0329,""Imuclav 1g cp"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN0330,""Joint Active cp"","""","""",""Autre"",""Comprime"",""214000"",""0"",""Non"",""1"""
"PN0331,""Joyclav 1g cp"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN0332,""Jespere 50mg cp"","""","""",""Autre"",""Comprime"",""70000"",""0"",""Non"",""2"""
"PN0333,""Ketoprofen GH 100mg cp"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN0334,""Ketoprofen LP 100mg cp"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN0335,""Kinafon cp"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN0336,""Kilmol cp"","""","""",""Autre"",""Comprime"",""47000"",""0"",""Non"",""1"""
"PN1243,""Kinal Codeïne cp"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN0338,""Kaleorid CP 600mg cp"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN0339,""Klipal 300mg cp"","""","""",""Autre"",""Comprime"",""37000"",""0"",""Non"",""14"""
"PN0340,""Klipal 600mg cp"","""","""",""Autre"",""Comprime"",""40000"",""0"",""Non"",""10"""
"PN0341,""Lansocap cp"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN0342,""Laritem 20/120 cp"","""","""",""Autre"",""Comprime"",""12000"",""0"",""Non"",""1"""
"PN0343,""Laritem 40/240 cp"","""","""",""Autre"",""Comprime"",""30000"",""0"",""Non"",""2"""
"PN0344,""Laritem 80/480 cp"","""","""",""Autre"",""Comprime"",""45000"",""0"",""Non"",""2"""
"PN1244,""Laroscorbine B/10 cp 1g"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN1245,""Laroscorbine B/30 cp 500mg"","""","""",""Autre"",""Comprime"",""50000"",""0"",""Non"",""1"""
"PN0347,""Lasilix 40mg cp"","""","""",""Autre"",""Comprime"",""46000"",""0"",""Non"",""1"""
"PN0348,""Lerin cp"","""","""",""Autre"",""Comprime"",""57000"",""0"",""Non"",""1"""
"PN0349,""Libertex cp"","""","""",""Autre"",""Comprime"",""20000"",""0"",""Non"",""10"""
"PN0350,""Lodoz 5/6.25mg cp"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN0351,""Lodoz 10/6.25mg cp"","""","""",""Autre"",""Comprime"",""99000"",""0"",""Non"",""1"""
"PN0352,""Lolip 10mg cp"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN0353,""Lufamet DS cp"","""","""",""Autre"",""Comprime"",""44000"",""0"",""Non"",""2"""
"PN0354,""Lutenyl 5mg cp"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN0355,""Lumiter DS cp"","""","""",""Autre"",""Comprime"",""51000"",""0"",""Non"",""3"""
"PN0356,""Lufanter 40mg B/12 cp"","""","""",""Autre"",""Comprime"",""45000"",""0"",""Non"",""1"""
"PN0357,""Lufanter disp 20/120mg cp"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN0358,""Lyso 6 cp"","""","""",""Autre"",""Comprime"",""138000"",""0"",""Non"",""1"""
"PN0359,""Meteoxane cp"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN0360,""Melex cp"","""","""",""Autre"",""Comprime"",""126000"",""0"",""Non"",""2"""
"PN0361,""Metformine 500mg BGR cp"","""","""",""Autre"",""Comprime"",""15000"",""0"",""Non"",""4"""
"PN0362,""Metformine 850mg BGR cp"","""","""",""Autre"",""Comprime"",""30000"",""0"",""Non"",""4"""
"PN0363,""Metformine 1000mg BGR cp"","""","""",""Autre"",""Comprime"",""35000"",""0"",""Non"",""3"""
"PN0364,""Metformine Denk 500mg cp"","""","""",""Autre"",""Comprime"",""21000"",""0"",""Non"",""2"""
"PN0365,""Metformine Denk 850mg cp"","""","""",""Autre"",""Comprime"",""45000"",""0"",""Non"",""6"""
"PN0366,""Metformine Denk 1000mg cp"","""","""",""Autre"",""Comprime"",""43000"",""0"",""Non"",""2"""
"PN0367,""Meteospasmyl cp"","""","""",""Autre"",""Comprime"",""61000"",""0"",""Non"",""3"""
"PN0368,""Macromax cp"","""","""",""Autre"",""Comprime"",""104000"",""0"",""Non"",""1"""
