Code;Nom;DCI;Marque;Categorie;Forme;Prix Vente;Prix Achat;Ordonnance;Quantite;Peremption
;Gastrozol D cp;;;;;;124000;;5;
;Gastrozol cp 40mg;;;;;;84000;;4;
;Gamalate B6 cp;;;;;;73000;;4;
;GAGNERVE P.C.P;;;;;;18100;;1;
;Gagnerve BT cp;;;;;;150000;;1;
;Gastrokit cp;;;;;;221000;;2;
;Gastrokit plus cp;;;;;;326000;;1;
;Genset cp;;;;;;25000;;3;
;Genes Vit plus;;;;;;74000;;1;
;Genes Grossesse cp;;;;;;70000;;1;
;Gestane cp;;;;;;112000;;3;
;Genes Vit mult-vitamine cp;;;;;;55000;;2;
;Glimeperide Denk cp;;;;;;81000;;3;
;Ginkor fort cp;;;;;;127000;;3;
;Guncipro Forte cp;;;;;;68000;;6;
;Gynopen cp;;;;;;50000;;2;
;Glucophage 500mg cp;;;;;;21000;;5;
;Glucophage 850mg cp;;;;;;;;0;
;Glucovance 500mg cp;;;;;;;;0;
;Glucovance 1000mg cp;;;;;;;;0;
;Glyferon 850mg cp;;;;;;45000;;1;
;Glyferon 1000mg cp;;;;;;;;0;
;Gynecline 200 cp;;;;;;44000;;3;
;Gynospan cp;;;;;;;;0;
;Haemup cp;;;;;;54000;;1;
;Helminthox 250mg cp;;;;;;;;0;
;oligobs;;;;;;174000;;1;
;parol 500;;;;;;23000;;3;
;pepsol cp;;;;;;93000;;5;
;pedifen cp;;;;;;37000;;1;
;prostalen cp;;;;;;146000;;1;
;purgalax cp;;;;;;70000;;3;
;prover 400 mg cp;;;;;;11000;;3;
;piza DSR cp;;;;;;219000;;1;
;pylokit;;;;;;147000;;3;
;Glucophage 1000g;;;;;;59000;;1;
;Glide M 60/500;;;;;;231000;;1;
;Glide M 60/850;;;;;;243000;;1;
;Malaren 80/480 B16;;;;;;41000;;3;
;Malaren 20/120 B6;;;;;;21000;;6;
;Lumaterus B16;;;;;;47000;;3;
;Lumaria SP 80/480;;;;;;47000;;2;
;Levothyrox 25mg;;;;;;10000;;3;
;Levothyroxine 100mg;;;;;;27000;;2;
;Levothyrox 100 GH;;;;;;17000;;2;
;Lexomil cp;;;;;;82000;;3;
;Artehein inj B/6;;;;;;7000;;97;
;Artesiane inj;;;;;;93000;;4;
;"Atropine inj 0,5";;;;;;;;0;
;Arthemeter Ubi inj B/10;;;;;;;;0;
;Artesun 60 inj;;;;;;29000;;13;
;Artesun 120 inj;;;;;;52000;;14;
;Becozyme inj;;;;;;;;0;
;Caplin Caprazole inj;;;;;;66000;;10;
;Diprostene inj;;;;;;79000;;10;
;Diclo Denk 75mg inj;;;;;;;;0;
;Ciplacef 1g inj;;;;;;;;0;
;dicaciline 1.2 inj;;;;;;23000;;5;
;Dicaciline 2.4 inj;;;;;;29000;;10;
;R-Lume inj 80 B/6;;;;;;9500;;32;
;Dislep 25 inj;;;;;;;;0;
;Diclofenac Ibu inj;;;;;;1500;;239;
;Dycinone inj 250;;;;;;50000;;17;
;Gastroject inj;;;;;;97000;;3;
;Gynospan inj;;;;;;;;0;
;lidocaine inj;;;;;;;;0;
;Osikort 40mg inj;;;;;;42000;;9;
;lerin inj;;;;;;;;0;
;Felden inj;;;;;;;;0;
;Prokefen inj;;;;;;15000;;11;
;Cefezone inj 1g;;;;;;23000;;13;
;Lidocaine 2% Ibu;;;;;;23000;;6;
;Aquanate 60mg;;;;;;28000;;10;
;Glycovance (Gomme);;;;;;;;0;
;Kilcip forte;;;;;;;;0;
;Inter-02;;;;;;77000;;2;
;La forte cp;;;;;;;;0;
;Niglox cp;;;;;;116000;;2;
;Nobilil 15mg cp;;;;;;64000;;4;
;Nupenta DSR;;;;;;162000;;1;
;Nauselib cp;;;;;;;;0;
;Naturex Miel;;;;;;41000;;1;
;Naturex Orange;;;;;;43000;;1;
;Neber 100g GH;;;;;;19000;;3;
;Conceptio Femme;;;;;;217000;;1;
;Conceptio Homme;;;;;;417000;;1;
;Comsior + 80/480;;;;;;41000;;2;
;Misolgan g;;;;;;21000;;6;
;Nauselib g;;;;;;57000;;3;
;Nofehil 500g;;;;;;11000;;5;
;Normix g;;;;;;88000;;4;
;NESTEFFER g;;;;;;28000;;1;
;Lofnac P g;;;;;;28000;;2;
;L-Cartinitine plus;;;;;;127000;;2;
;Ixime 200g;;;;;;63000;;2;
;Immunoflex N;;;;;;206000;;1;
;Lapzol g;;;;;;62000;;3;
;Lexodia g;;;;;;58000;;3;
;Laroxil 25g;;;;;;71000;;1;
;Nospa 80g;;;;;;;;0;
;Quinex 300;;;;;;52000;;1;
;Ketoprofen GH sup;;;;;;;;0;
;Ketoflex sup;;;;;;;;0;
;Nystasha ov;;;;;;40000;;4;
;Kinafon sup;;;;;;;;0;
;Microlax BB sup;;;;;;127000;;1;
;Microlax A/D sup;;;;;;123000;;1;
;Pevagin ov;;;;;;64000;;4;
;Polygynax B/6 ov;;;;;;48000;;4;
;Polygynax B/12 ov;;;;;;71000;;2;
;Prokefen sup;;;;;;29000;;4;
