"Code","Nom","DCI","Marque","Categorie","Forme","Prix Vente","Prix Achat","Rx","Quantite"
"PN0286","Gastrozol D cp","","","Autre","Comprime","124000","0","Non","5"
"PN1411","Gastrozol cp 40mg","","","Autre","Comprime","84000","0","Non","4"
"PN0288","Gamalate B6 cp","","","Autre","Comprime","73000","0","Non","4"
"PN1412","GAGNERVE P.C.P","","","Autre","Comprime","18100","0","Non","1"
"PN0290","Gagnerve BT cp","","","Autre","Comprime","150000","0","Non","1"
"PN1413","Gastrokit cp","","","Autre","Comprime","221000","0","Non","2"
"PN0292","Gastrokit plus cp","","","Autre","Comprime","326000","0","Non","1"
"PN0293","Genset cp","","","Autre","Comprime","25000","0","Non","3"
"PN1414","Genes Vit plus","","","Autre","Comprime","74000","0","Non","1"
"PN0295","Genes Grossesse cp","","","Autre","Comprime","70000","0","Non","1"
"PN0296","Gestane cp","","","Autre","Comprime","112000","0","Non","3"
"PN0297","Genes Vit mult-vitamine cp","","","Autre","Comprime","55000","0","Non","2"
"PN0298","Glimeperide Denk cp","","","Autre","Comprime","81000","0","Non","3"
"PN1415","Ginkor fort cp","","","Autre","Comprime","127000","0","Non","3"
"PN0300","Guncipro Forte cp","","","Autre","Comprime","68000","0","Non","6"
"PN0301","Gynopen cp","","","Autre","Comprime","50000","0","Non","2"
"PN0302","Glucophage 500mg cp","","","Autre","Comprime","21000","0","Non","5"
"PN0303","Glucophage 850mg cp","","","Autre","Comprime","0","0","Non","0"
"PN0304","Glucovance 500mg cp","","","Autre","Comprime","0","0","Non","0"
"PN0305","Glucovance 1000mg cp","","","Autre","Comprime","0","0","Non","0"
"PN0306","Glyferon 850mg cp","","","Autre","Comprime","45000","0","Non","1"
"PN0307","Glyferon 1000mg cp","","","Autre","Comprime","0","0","Non","0"
"PN0308","Gynecline 200 cp","","","Autre","Comprime","44000","0","Non","3"
"PN0309","Gynospan cp","","","Autre","Comprime","0","0","Non","0"
"PN0310","Haemup cp","","","Autre","Comprime","54000","0","Non","1"
"PN0311","Helminthox 250mg cp","","","Autre","Comprime","0","0","Non","0"
"PN1416","oligobs","","","Autre","Comprime","174000","0","Non","1"
"PN1417","parol 500","","","Autre","Comprime","23000","0","Non","3"
"PN1418","pepsol cp","","","Autre","Comprime","93000","0","Non","5"
"PN1419","pedifen cp","","","Autre","Comprime","37000","0","Non","1"
"PN1420","prostalen cp","","","Autre","Comprime","146000","0","Non","1"
"PN1421","purgalax cp","","","Autre","Comprime","70000","0","Non","3"
"PN1422","prover 400 mg cp","","","Autre","Comprime","11000","0","Non","3"
"PN1423","piza DSR cp","","","Autre","Comprime","219000","0","Non","1"
"PN1424","pylokit","","","Autre","Comprime","147000","0","Non","3"
"PN1425","Glucophage 1000g","","","Autre","Comprime","59000","0","Non","1"
"PN1426","Glide M 60/500","","","Autre","Comprime","231000","0","Non","1"
"PN1427","Glide M 60/850","","","Autre","Comprime","243000","0","Non","1"
"PN1428","Malaren 80/480 B16","","","Autre","Comprime","41000","0","Non","3"
"PN1429","Malaren 20/120 B6","","","Autre","Comprime","21000","0","Non","6"
"PN1430","Lumaterus B16","","","Autre","Comprime","47000","0","Non","3"
"PN1431","Lumaria SP 80/480","","","Autre","Comprime","47000","0","Non","2"
"PN1432","Levothyrox 25mg","","","Autre","Comprime","10000","0","Non","3"
"PN1433","Levothyroxine 100mg","","","Autre","Comprime","27000","0","Non","2"
"PN1434","Levothyrox 100 GH","","","Autre","Comprime","17000","0","Non","2"
"PN1435","Lexomil cp","","","Autre","Comprime","82000","0","Non","3"
"PN1436","Artehein inj B/6","","","Autre","Comprime","7000","0","Non","97"
"PN0660","Artesiane inj","","","Autre","Comprime","93000","0","Non","4"
"PN0661","Atropine inj 0,5","","","Autre","Comprime","0","0","Non","0"
"PN0662","Arthemeter Ubi inj B/10","","","Autre","Comprime","0","0","Non","0"
"PN0663","Artesun 60 inj","","","Autre","Comprime","29000","0","Non","13"
"PN0664","Artesun 120 inj","","","Autre","Comprime","52000","0","Non","14"
"PN0665","Becozyme inj","","","Autre","Comprime","0","0","Non","0"
"PN0666","Caplin Caprazole inj","","","Autre","Comprime","66000","0","Non","10"
"PN1437","Diprostene inj","","","Autre","Comprime","79000","0","Non","10"
"PN0668","Diclo Denk 75mg inj","","","Autre","Comprime","0","0","Non","0"
"PN0669","Ciplacef 1g inj","","","Autre","Comprime","0","0","Non","0"
"PN1438","dicaciline 1.2 inj","","","Autre","Comprime","23000","0","Non","5"
"PN1439","Dicaciline 2.4 inj","","","Autre","Comprime","29000","0","Non","10"
"PN1440","R-Lume inj 80 B/6","","","Autre","Comprime","9500","0","Non","32"
"PN0674","Dislep 25 inj","","","Autre","Comprime","0","0","Non","0"
"PN0675","Diclofenac Ibu inj","","","Autre","Comprime","1500","0","Non","239"
"PN0676","Dycinone inj 250","","","Autre","Comprime","50000","0","Non","17"
"PN0677","Gastroject inj","","","Autre","Comprime","97000","0","Non","3"
"PN0678","Gynospan inj","","","Autre","Comprime","0","0","Non","0"
"PN0679","lidocaine inj","","","Autre","Comprime","0","0","Non","0"
"PN0680","Osikort 40mg inj","","","Autre","Comprime","42000","0","Non","9"
"PN0681","lerin inj","","","Autre","Comprime","0","0","Non","0"
"PN0682","Felden inj","","","Autre","Comprime","0","0","Non","0"
"PN0683","Prokefen inj","","","Autre","Comprime","15000","0","Non","11"
"PN0684","Cefezone inj 1g","","","Autre","Comprime","23000","0","Non","13"
"PN1441","Lidocaine 2% Ibu","","","Autre","Comprime","23000","0","Non","6"
"PN1442","Aquanate 60mg","","","Autre","Comprime","28000","0","Non","10"
"PN1443","Glycovance (Gomme)","","","Autre","Comprime","0","0","Non","0"
"PN1444","Kilcip forte","","","Autre","Comprime","0","0","Non","0"
"PN1445","Inter-02","","","Autre","Comprime","77000","0","Non","2"
"PN1446","La forte cp","","","Autre","Comprime","0","0","Non","0"
"PN1447","Niglox cp","","","Autre","Comprime","116000","0","Non","2"
"PN1448","Nobilil 15mg cp","","","Autre","Comprime","64000","0","Non","4"
"PN1449","Nupenta DSR","","","Autre","Comprime","162000","0","Non","1"
"PN1450","Nauselib cp","","","Autre","Comprime","0","0","Non","0"
"PN1451","Naturex Miel","","","Autre","Comprime","41000","0","Non","1"
"PN1452","Naturex Orange","","","Autre","Comprime","43000","0","Non","1"
"PN1453","Neber 100g GH","","","Autre","Comprime","19000","0","Non","3"
"PN1454","Conceptio Femme","","","Autre","Comprime","217000","0","Non","1"
"PN1455","Conceptio Homme","","","Autre","Comprime","417000","0","Non","1"
"PN1456","Comsior + 80/480","","","Autre","Comprime","41000","0","Non","2"
"PN1457","Misolgan g","","","Autre","Comprime","21000","0","Non","6"
"PN1458","Nauselib g","","","Autre","Comprime","57000","0","Non","3"
"PN1459","Nofehil 500g","","","Autre","Comprime","11000","0","Non","5"
"PN1460","Normix g","","","Autre","Comprime","88000","0","Non","4"
"PN1461","NESTEFFER g","","","Autre","Comprime","28000","0","Non","1"
"PN1462","Lofnac P g","","","Autre","Comprime","28000","0","Non","2"
"PN1463","L-Cartinitine plus","","","Autre","Comprime","127000","0","Non","2"
"PN1464","Ixime 200g","","","Autre","Comprime","63000","0","Non","2"
